name,year,poverty-rate,median-household-income,rent-burden,pct-white,households-threatened,eviction-filing-rate,total-crime
Baltimore City,2000,22.92,30078,26.9,30.96,58207.75,124.17,66791
Baltimore City,2001,22.92,30078,26.9,30.96,52564.67,111.08,64453
Baltimore City,2002,22.92,30078,26.9,30.96,57183.58,121.05,56550
Baltimore City,2003,22.92,30078,26.9,30.96,57039.41,116.82,49263
Baltimore City,2004,22.92,30078,26.9,30.96,60221.48,109.42,48314
Baltimore City,2005,16.22,38738,32.8,30.49,61300.94,106.69,45061
Baltimore City,2006,16.22,38738,32.8,30.49,62333.28,110.3,43657
Baltimore City,2007,16.22,38738,32.8,30.49,60860.25,113.44,40558
Baltimore City,2008,16.22,38738,32.8,30.49,63171.72,118.69,41165
Baltimore City,2009,16.22,38738,32.8,30.49,55412.76,98.78,39290
Baltimore City,2010,18.79,40803,33.6,28.04,60722.68,114.72,38045
Baltimore City,2011,18.96,42241,32.8,28.08,58837.45,111.11,39181
Baltimore City,2012,18.96,42241,32.8,28.08,62402.01,119.49,38457
Baltimore City,2013,18.96,42241,32.8,28.08,59081.73,108.87,39988
Baltimore City,2014,18.96,42241,32.8,28.08,59455.71,112.03,38321
Baltimore City,2015,18.96,42241,32.8,28.08,57230.16,109.77,41124
Baltimore City,2016,16.59,48840,31.1,27.54,52885.99,103.45,41128
Baltimore City,2017,16.59,48840,31.1,27.54,52789.55,99.61,43132
Baltimore City,2018,16.59,48840,31.1,27.54,52188.47,92.34,38786
Harford County,2000,4.94,57234,23.2,85.8,5371.7,58.31,5490
Harford County,2001,4.94,57234,23.2,85.8,5384.26,61.16,6370
Harford County,2002,4.94,57234,23.2,85.8,5656.1,62.82,6906
Harford County,2003,4.94,57234,23.2,85.8,5790.2,63.6,6225
Harford County,2004,4.94,57234,23.2,85.8,6210.07,63.27,6246
Harford County,2005,4.33,75872,28.0,81.57,6357.96,62.98,5756
Harford County,2006,4.33,75872,28.0,81.57,6286.13,62.01,5585
Harford County,2007,4.33,75872,28.0,81.57,6477.87,67.65,5950
Harford County,2008,4.33,75872,28.0,81.57,7050.26,75.59,6100
Harford County,2009,4.33,75872,28.0,81.57,7046.63,77.6,5426
Harford County,2010,5.69,80441,29.5,79.24,7148.64,76.76,5355
Harford County,2011,6.24,80465,29.9,77.64,6993.13,71.48,4594
Harford County,2012,6.24,80465,29.9,77.64,7218.89,72.2,4728
Harford County,2013,6.24,80465,29.9,77.64,7563.59,76.54,4725
Harford County,2014,6.24,80465,29.9,77.64,6515.2,60.67,4266
Harford County,2015,6.24,80465,29.9,77.64,6445.7,60.67,3747
Harford County,2016,5.3,85942,29.5,76.46,7472.78,74.4,4024
Harford County,2017,5.3,85942,29.5,76.46,7635.0,74.0,3389
Harford County,2018,5.3,85942,29.5,76.46,7970.13,75.64,3388
Cecil County,2000,7.17,50510,23.4,92.55,2150.03,45.79,2987
Cecil County,2001,7.17,50510,23.4,92.55,2070.2,43.95,2977
Cecil County,2002,7.17,50510,23.4,92.55,2213.69,45.55,3052
Cecil County,2003,7.17,50510,23.4,92.55,2207.51,43.64,3163
Cecil County,2004,7.17,50510,23.4,92.55,2435.46,45.03,3388
Cecil County,2005,5.66,65079,28.9,89.45,2628.65,45.87,3408
Cecil County,2006,5.66,65079,28.9,89.45,2690.71,46.43,3532
Cecil County,2007,5.66,65079,28.9,89.45,2650.32,46.11,3966
Cecil County,2008,5.66,65079,28.9,89.45,2598.68,43.52,4351
Cecil County,2009,5.66,65079,28.9,89.45,2795.21,48.13,4410
Cecil County,2010,6.47,66025,31.2,87.38,2902.17,47.99,4098
Cecil County,2011,6.78,66396,29.6,86.15,2882.74,46.63,4020
Cecil County,2012,6.78,66396,29.6,86.15,2912.43,45.97,3922
Cecil County,2013,6.78,66396,29.6,86.15,2961.23,46.48,3311
Cecil County,2014,6.78,66396,29.6,86.15,2842.92,43.74,3388
Cecil County,2015,6.78,66396,29.6,86.15,2939.37,46.34,3027
Cecil County,2016,6.53,72845,29.8,85.43,2939.08,45.88,2979
Cecil County,2017,6.53,72845,29.8,85.43,3070.1,47.35,2493
Cecil County,2018,6.53,72845,29.8,85.43,3065.11,45.65,2520
Charles County,2000,5.47,62199,25.9,67.29,1993.81,34.45,4494
Charles County,2001,5.47,62199,25.9,67.29,1711.39,28.43,4685
Charles County,2002,5.47,62199,25.9,67.29,1892.38,31.03,4943
Charles County,2003,5.47,62199,25.9,67.29,2013.06,32.7,5103
Charles County,2004,5.47,62199,25.9,67.29,2203.99,33.77,4941
Charles County,2005,4.14,86141,31.5,53.73,2518.49,38.98,5029
Charles County,2006,4.14,86141,31.5,53.73,2728.43,42.78,4995
Charles County,2007,4.14,86141,31.5,53.73,3044.56,51.0,5089
Charles County,2008,4.14,86141,31.5,53.73,3162.46,52.39,5105
Charles County,2009,4.14,86141,31.5,53.73,3087.02,51.06,4433
Charles County,2010,4.92,93063,34.4,48.38,3479.25,58.49,4425
Charles County,2011,6.01,90607,33.9,45.42,3707.65,59.84,4366
Charles County,2012,6.01,90607,33.9,45.42,4197.64,68.9,3918
