,name,year,poverty-rate,median-household-income,rent-burden,pct-white,households-threatened,eviction-filing-rate,total-crime
0,Baltimore City,2000,22.92,30078,26.9,30.96,58207.75,124.17,66791
1,Baltimore City,2001,22.92,30078,26.9,30.96,52564.67,111.08,64453
2,Baltimore City,2002,22.92,30078,26.9,30.96,57183.58,121.05,56550
3,Baltimore City,2003,22.92,30078,26.9,30.96,57039.41,116.82,49263
4,Baltimore City,2004,22.92,30078,26.9,30.96,60221.48,109.42,48314
5,Baltimore City,2005,16.22,38738,32.8,30.49,61300.94,106.69,45061
6,Baltimore City,2006,16.22,38738,32.8,30.49,62333.28,110.3,43657
7,Baltimore City,2007,16.22,38738,32.8,30.49,60860.25,113.44,40558
8,Baltimore City,2008,16.22,38738,32.8,30.49,63171.72,118.69,41165
9,Baltimore City,2009,16.22,38738,32.8,30.49,55412.76,98.78,39290
10,Baltimore City,2010,18.79,40803,33.6,28.04,60722.68,114.72,38045
11,Baltimore City,2011,18.96,42241,32.8,28.08,58837.45,111.11,39181
12,Baltimore City,2012,18.96,42241,32.8,28.08,62402.01,119.49,38457
13,Baltimore City,2013,18.96,42241,32.8,28.08,59081.73,108.87,39988
14,Baltimore City,2014,18.96,42241,32.8,28.08,59455.71,112.03,38321
15,Baltimore City,2015,18.96,42241,32.8,28.08,57230.16,109.77,41124
16,Baltimore City,2016,16.59,48840,31.1,27.54,52885.99,103.45,41128
17,Baltimore City,2017,16.59,48840,31.1,27.54,52789.55,99.61,43132
18,Baltimore City,2018,16.59,48840,31.1,27.54,52188.47,92.34,38786
19,Harford County,2000,4.94,57234,23.2,85.8,5371.7,58.31,5490
20,Harford County,2001,4.94,57234,23.2,85.8,5384.26,61.16,6370
21,Harford County,2002,4.94,57234,23.2,85.8,5656.1,62.82,6906
22,Harford County,2003,4.94,57234,23.2,85.8,5790.2,63.6,6225
23,Harford County,2004,4.94,57234,23.2,85.8,6210.07,63.27,6246
24,Harford County,2005,4.33,75872,28.0,81.57,6357.96,62.98,5756
25,Harford County,2006,4.33,75872,28.0,81.57,6286.13,62.01,5585
26,Harford County,2007,4.33,75872,28.0,81.57,6477.87,67.65,5950
27,Harford County,2008,4.33,75872,28.0,81.57,7050.26,75.59,6100
28,Harford County,2009,4.33,75872,28.0,81.57,7046.63,77.6,5426
29,Harford County,2010,5.69,80441,29.5,79.24,7148.64,76.76,5355
30,Harford County,2011,6.24,80465,29.9,77.64,6993.13,71.48,4594
